name,description,unit,value,metrics
Beta‑Alanine,Buffers muscle acidity via carnosine; useful for anaerobic efforts; tingling is common.,g,3.2,"[""HKQuantityTypeIdentifierVO2Max"", ""HKQuantityTypeIdentifierAppleExerciseTime""]"
Citrulline Malate,Boosts nitric oxide via arginine; may improve endurance and perceived pump.,g,6.0,"[""HKQuantityTypeIdentifierVO2Max"", ""HKQuantityTypeIdentifierHeartRateRecoveryOneMinute""]"
L‑Carnitine (ALCAR),Mitochondrial support; may aid mental energy and fat metabolism.,mg,500.0,"[""HKQuantityTypeIdentifierBodyFatPercentage"", ""HKQuantityTypeIdentifierBodyMass"", ""HKCategoryTypeIdentifierSleepAnalysis""]"
L‑Tyrosine,Catecholamine precursor; supports focus under stress/sleep loss.,mg,500.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierHeartRateVariabilitySDNN"", ""HKCategoryTypeIdentifierMindfulSession""]"
5‑HTP,Serotonin precursor; often used for sleep and appetite. Avoid with SSRIs/MAOIs.,mg,100.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierSleepDurationGoal"", ""HKCategoryTypeIdentifierMindfulSession""]"
Ashwagandha (KSM‑66/Sensoril),"Adaptogen for stress, sleep and recovery; typical 300–600 mg.",mg,600.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierHeartRateVariabilitySDNN"", ""HKQuantityTypeIdentifierRestingHeartRate""]"
Rhodiola Rosea,Adaptogen for fatigue and resilience; take earlier in the day.,mg,200.0,"[""HKQuantityTypeIdentifierHeartRateVariabilitySDNN"", ""HKCategoryTypeIdentifierSleepAnalysis""]"
Green Tea Extract (EGCG),Antioxidant catechins for weight management; avoid high doses on empty stomach.,mg,300.0,"[""HKQuantityTypeIdentifierBodyMass"", ""HKQuantityTypeIdentifierBodyFatPercentage"", ""HKQuantityTypeIdentifierWaistCircumference""]"
Berberine,Insulin sensitivity and glucose control; take with meals; can interact with meds.,mg,500.0,"[""HKQuantityTypeIdentifierBloodGlucose"", ""HKQuantityTypeIdentifierBodyMass"", ""HKQuantityTypeIdentifierWaistCircumference""]"
Inositol (Myo‑inositol),Supports insulin signalling and mood; often 2–4 g/day; common in PCOS protocols.,g,4.0,"[""HKQuantityTypeIdentifierBloodGlucose"", ""HKCategoryTypeIdentifierMenstrualFlow"", ""HKCategoryTypeIdentifierOvulationTestResult""]"
CoQ10 (Ubiquinone/Ubiquinol),Mitochondrial antioxidant; supports energy and cardiovascular health; take with fat.,mg,200.0,"[""HKQuantityTypeIdentifierRestingHeartRate"", ""HKQuantityTypeIdentifierHeartRateRecoveryOneMinute""]"
Nicotinamide Riboside (NR),NAD+ precursor explored for cellular energy and healthy ageing.,mg,300.0,"[""HKQuantityTypeIdentifierVO2Max"", ""HKQuantityTypeIdentifierWalkingSpeed""]"
Resveratrol (Trans‑Resveratrol),Polyphenol associated with cardiometabolic support; take with fat for absorption.,mg,200.0,"[""HKQuantityTypeIdentifierRestingHeartRate"", ""HKQuantityTypeIdentifierWalkingHeartRateAverage""]"
Garlic (Aged Extract),Cardiometabolic support; can modestly lower blood pressure and improve lipids.,mg,600.0,"[""HKQuantityTypeIdentifierBloodPressureSystolic"", ""HKQuantityTypeIdentifierBloodPressureDiastolic""]"
Milk Thistle (Silymarin),Liver support; consider if using hepatically‑metabolised meds; quality matters.,mg,500.0,"[""HKQuantityTypeIdentifierAlcoholConsumption"", ""HKCategoryTypeIdentifierSleepAnalysis""]"
Curcumin (with Piperine),Anti‑inflammatory polyphenol; combine with piperine or liposomal forms to enhance absorption.,mg,500.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierWalkingAsymmetryPercentage""]"
Spirulina,Algae rich in protein and phycocyanin; supports lipids and blood pressure.,g,3.0,"[""HKQuantityTypeIdentifierBloodPressureSystolic"", ""HKQuantityTypeIdentifierBloodPressureDiastolic""]"
Chlorella,Nutrient‑dense algae; used for general wellness; build dose gradually.,g,3.0,"[""HKQuantityTypeIdentifierBodyMass"", ""HKCategoryTypeIdentifierSleepAnalysis""]"
Melatonin,Sleep onset support; use low dose and good sleep hygiene; shift‑work/travel friendly.,mg,1.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierSleepDurationGoal""]"
Magnesium Threonate,Form that may cross blood–brain barrier more readily; often used for sleep and calm.,mg,200.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierHeartRateVariabilitySDNN""]"
Ginkgo Biloba,May support circulation and cognition; mild antiplatelet effect—use caution with blood thinners.,mg,120.0,"[""HKQuantityTypeIdentifierWalkingSpeed"", ""HKQuantityTypeIdentifierSixMinuteWalkTestDistance""]"
Panax Ginseng,Adaptogen for energy and fatigue resistance; consider cycling.,mg,200.0,"[""HKQuantityTypeIdentifierVO2Max"", ""HKQuantityTypeIdentifierAppleExerciseTime""]"
Shilajit (Purified),Ayurvedic mineral resin; early evidence for vitality; ensure heavy‑metal testing.,mg,250.0,"[""HKQuantityTypeIdentifierWalkingSpeed"", ""HKQuantityTypeIdentifierStairAscentSpeed""]"
Boron,Ultratrace mineral; explored for hormone and bone support; keep dose modest.,mg,3.0,"[""HKQuantityTypeIdentifierBoneMass"", ""HKQuantityTypeIdentifierBodyFatPercentage""]"
Chromium (Picolinate),Glucose metabolism support; modest effects on insulin sensitivity in some.,mcg,200.0,"[""HKQuantityTypeIdentifierBloodGlucose"", ""HKQuantityTypeIdentifierBodyMass""]"
Betaine (TMG),Methyl donor; may aid training power and homocysteine control when combined with B‑vitamins.,g,2.5,"[""HKQuantityTypeIdentifierVO2Max"", ""HKQuantityTypeIdentifierAppleExerciseTime""]"
Electrolytes (Sodium/Potassium/Magnesium),Hydration and performance support; adjust to sweat rate and climate.,g,1.0,"[""HKQuantityTypeIdentifierEnvironmentalSoundLevel"", ""HKQuantityTypeIdentifierRespiratoryRate"", ""HKQuantityTypeIdentifierHeartRate""]"
Probiotics (Multi‑strain),Gut health and regularity; strain‑specific effects; introduce gradually.,billion CFU,20.0,"[""HKCategoryTypeIdentifierSleepAnalysis"", ""HKQuantityTypeIdentifierBodyMass""]"
Berkeley Life Nitrate (Beetroot),Dietary nitrates for nitric oxide; may reduce blood pressure and improve exercise economy.,mg nitrate,400.0,"[""HKQuantityTypeIdentifierBloodPressureSystolic"", ""HKQuantityTypeIdentifierBloodPressureDiastolic"", ""HKQuantityTypeIdentifierVO2Max""]"
HMB (β‑Hydroxy β‑Methylbutyrate),Leucine metabolite that may reduce muscle breakdown—useful when training volume is low or during cuts.,g,3.0,"[""HKQuantityTypeIdentifierLeanBodyMass"", ""HKQuantityTypeIdentifierBodyMass""]"
