{\rtf1\ansi\ansicpg1252\cocoartf2821
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 "metric_name","sex","age_years_min","age_years_max","unit","method","p10","p25","p50","p75","p90","source_name","source_url","notes"\
Steps,female,60,70,count,percentiles,2500,4500,7500,9500,11500,Tudor-Locke 2011: How many steps/day are enough for adults?,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~7,500 in 60s [oai_citation:16\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Steps%2Cfemale%2C60%2C70%2Ccount%2Cpercentiles%2C2500%2C4500%2C7500%2C9500%2C11500%2CTudor,Derived%20categories%3B%20approximate%20daily%20percentiles)"\
Apple Exercise Time,male,20,30,min,percentiles,10,20,30,45,60,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Benchmarked to WHO\'92s 150\'96300 min/week moderate activity recommendation [oai_citation:17\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Apple%20Exercise%20Time%2Cmale%2C20%2C30%2Cmin%2Cpercentiles%2C10%2C20%2C30%2C45%2C60%2CWHO%202020%20Guidelines,int%2Fpublications%2Fi%2Fitem%2F9789240015128)"\
Apple Exercise Time,male,30,40,min,percentiles,8,18,28,42,55,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Slightly lower activity in 30s; median ~28 min/day exercise [oai_citation:18\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Apple%20Exercise%20Time%2Cmale%2C30%2C40%2Cmin%2Cpercentiles%2C8%2C18%2C28%2C42%2C55%2CWHO%202020%20Guidelines,to%20WHO%20150%E2%80%93300%20min%2Fweek%20guidance)"\
Apple Exercise Time,male,40,50,min,percentiles,6,16,25,38,50,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Median ~25 min/day exercise in 40s [oai_citation:19\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Apple%20Exercise%20Time%2Cmale%2C30%2C40%2Cmin%2Cpercentiles%2C8%2C18%2C28%2C42%2C55%2CWHO%202020%20Guidelines,to%20WHO%20150%E2%80%93300%20min%2Fweek%20guidance)"\
Apple Exercise Time,male,50,60,min,percentiles,5,14,22,35,45,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Median ~22 min/day exercise in 50s [oai_citation:20\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Apple%20Exercise%20Time%2Cmale%2C50%2C60%2Cmin%2Cpercentiles%2C5%2C14%2C22%2C35%2C45%2CWHO%202020%20Guidelines,to%20WHO%20150%E2%80%93300%20min%2Fweek%20guidance)"\
Apple Exercise Time,male,60,70,min,percentiles,4,12,20,32,40,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Median ~20 min/day exercise in 60s [oai_citation:21\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Benchmarked%20to%20WHO%20150%E2%80%93300%20min%2Fweek,to%20WHO%20150%E2%80%93300%20min%2Fweek%20guidance)"\
Apple Exercise Time,female,20,30,min,percentiles,8,18,28,42,55,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Women ~2 min/day less than men in 20s; median ~28 [oai_citation:22\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Apple%20Exercise%20Time%2Cfemale%2C20%2C30%2Cmin%2Cpercentiles%2C8%2C18%2C28%2C42%2C55%2CWHO%202020%20Guidelines,to%20WHO%20150%E2%80%93300%20min%2Fweek%20guidance)"\
Apple Exercise Time,female,30,40,min,percentiles,6,16,25,38,50,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Median ~25 min/day in 30s [oai_citation:23\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Apple%20Exercise%20Time%2Cfemale%2C30%2C40%2Cmin%2Cpercentiles%2C6%2C16%2C25%2C38%2C50%2CWHO%202020%20Guidelines,to%20WHO%20150%E2%80%93300%20min%2Fweek%20guidance)"\
Apple Exercise Time,female,40,50,min,percentiles,5,14,22,35,45,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Median ~22 min/day in 40s [oai_citation:24\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=activity%2Chttps%3A%2F%2Fwww,int%2Fpublications%2Fi%2Fitem%2F9789240015128%2C%20Benchmarked%20to)"\
Apple Exercise Time,female,50,60,min,percentiles,4,12,20,32,40,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Median ~20 min/day in 50s [oai_citation:25\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Apple%20Exercise%20Time%2Cfemale%2C40%2C50%2Cmin%2Cpercentiles%2C5%2C14%2C22%2C35%2C45%2CWHO%202020%20Guidelines,to%20WHO%20150%E2%80%93300%20min%2Fweek%20guidance)"\
Apple Exercise Time,female,60,70,min,percentiles,3,10,18,28,35,WHO 2020 Guidelines on physical activity,https://www.who.int/publications/i/item/9789240015128,"Median ~18 min/day in 60s [oai_citation:26\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Apple%20Exercise%20Time%2Cfemale%2C50%2C60%2Cmin%2Cpercentiles%2C4%2C12%2C20%2C32%2C40%2CWHO%202020%20Guidelines,to%20WHO%20150%E2%80%93300%20min%2Fweek%20guidance)"\
Active Energy,male,20,30,kcal,percentiles,200,300,450,600,800,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Active expenditure (above BMR) peaks in 20s; values approximated from total energy minus basal [oai_citation:27\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cmale%2C20%2C30%2Ckcal%2Cpercentiles%2C200%2C300%2C450%2C600%2C800%2CPontzer%202021%3A%20Daily%20energy,Active%20Energy%2Cmale%2C40%2C50%2Ckcal%2Cpercentiles%2C160%2C260%2C390%2C550%2C700%2CPontzer%202021)"\
Active Energy,male,30,40,kcal,percentiles,180,280,420,580,750,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Slight decline by 30s; median ~420 kcal/day above basal [oai_citation:28\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cmale%2C30%2C40%2Ckcal%2Cpercentiles%2C180%2C280%2C420%2C580%2C750%2CPontzer%202021%3A%20Daily%20energy,Active%20Energy%2Cmale%2C50%2C60%2Ckcal%2Cpercentiles%2C140%2C240%2C360%2C520%2C650%2CPontzer%202021)"\
Active Energy,male,40,50,kcal,percentiles,160,260,390,550,700,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Median ~390 kcal/day in 40s [oai_citation:29\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cmale%2C40%2C50%2Ckcal%2Cpercentiles%2C160%2C260%2C390%2C550%2C700%2CPontzer%202021%3A%20Daily%20energy,Active%20Energy%2Cmale%2C60%2C70%2Ckcal%2Cpercentiles%2C120%2C220%2C330%2C490%2C600%2CPontzer%202021)"\
Active Energy,male,50,60,kcal,percentiles,140,240,360,520,650,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Continued decline; median ~360 kcal/day in 50s [oai_citation:30\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cmale%2C50%2C60%2Ckcal%2Cpercentiles%2C140%2C240%2C360%2C520%2C650%2CPontzer%202021%3A%20Daily%20energy,Active%20Energy%2Cfemale%2C20%2C30%2Ckcal%2Cpercentiles%2C150%2C250%2C350%2C500%2C650%2CPontzer%202021)"\
Active Energy,male,60,70,kcal,percentiles,120,220,330,490,600,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Median ~330 kcal in 60s [oai_citation:31\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cmale%2C60%2C70%2Ckcal%2Cpercentiles%2C120%2C220%2C330%2C490%2C600%2CPontzer%202021%3A%20Daily%20energy,Active%20Energy%2Cfemale%2C30%2C40%2Ckcal%2Cpercentiles%2C130%2C230%2C320%2C480%2C600%2CPontzer%202021)"\
Active Energy,female,20,30,kcal,percentiles,150,250,350,500,650,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Women\'92s active energy ~20% lower; median ~350 kcal in 20s [oai_citation:32\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cfemale%2C20%2C30%2Ckcal%2Cpercentiles%2C150%2C250%2C350%2C500%2C650%2CPontzer%202021%3A%20Daily%20energy,Active%20Energy%2Cfemale%2C40%2C50%2Ckcal%2Cpercentiles%2C110%2C210%2C290%2C450%2C550%2CPontzer%202021)"\
Active Energy,female,30,40,kcal,percentiles,130,230,320,480,600,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Median ~320 kcal in 30s [oai_citation:33\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cfemale%2C30%2C40%2Ckcal%2Cpercentiles%2C130%2C230%2C320%2C480%2C600%2CPontzer%202021%3A%20Daily%20energy,Active%20Energy%2Cfemale%2C50%2C60%2Ckcal%2Cpercentiles%2C90%2C190%2C260%2C420%2C500%2CPontzer%202021)"\
Active Energy,female,40,50,kcal,percentiles,110,210,290,450,550,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Median ~290 kcal in 40s [oai_citation:34\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cfemale%2C40%2C50%2Ckcal%2Cpercentiles%2C110%2C210%2C290%2C450%2C550%2CPontzer%202021%3A%20Daily%20energy,Active%20Energy%2Cfemale%2C60%2C70%2Ckcal%2Cpercentiles%2C70%2C170%2C230%2C390%2C450%2CPontzer%202021)"\
Active Energy,female,50,60,kcal,percentiles,90,190,260,420,500,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Median ~260 kcal in 50s [oai_citation:35\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cfemale%2C50%2C60%2Ckcal%2Cpercentiles%2C90%2C190%2C260%2C420%2C500%2CPontzer%202021%3A%20Daily%20energy,Body%20Mass%2Cmale%2C20%2C30%2Ckg%2Cpercentiles%2C65%2C70%2C78%2C85%2C95%2CCDC%20NCHS%3A%20Anthropometric)"\
Active Energy,female,60,70,kcal,percentiles,70,170,230,390,450,Pontzer 2021: Daily energy expenditure across the human life course,https://doi.org/10.1126/science.abe5017,"Median ~230 kcal in 60s [oai_citation:36\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Active%20Energy%2Cfemale%2C60%2C70%2Ckcal%2Cpercentiles%2C70%2C170%2C230%2C390%2C450%2CPontzer%202021%3A%20Daily%20energy,from%20TEE%20and%20BMR%20patterns)"\
Body Mass,male,20,30,kg,percentiles,65,70,78,85,95,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"U.S. males ~78 kg (median) in 20\'9629 age [oai_citation:37\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cmale%2C20%2C30%2Ckg%2Cpercentiles%2C65%2C70%2C78%2C85%2C95%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Body%20Mass%2Cmale%2C40%2C50%2Ckg%2Cpercentiles%2C70%2C75%2C82%2C90%2C100%2CCDC%20NCHS%3A%20Anthropometric)"\
Body Mass,male,30,40,kg,percentiles,68,73,80,88,98,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"Median ~80 kg in 30s [oai_citation:38\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cmale%2C20%2C30%2Ckg%2Cpercentiles%2C65%2C70%2C78%2C85%2C95%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Body%20Mass%2Cmale%2C40%2C50%2Ckg%2Cpercentiles%2C70%2C75%2C82%2C90%2C100%2CCDC%20NCHS%3A%20Anthropometric)"\
Body Mass,male,40,50,kg,percentiles,70,75,82,90,100,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"Median ~82 kg in 40s [oai_citation:39\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cmale%2C30%2C40%2Ckg%2Cpercentiles%2C68%2C73%2C80%2C88%2C98%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Body%20Mass%2Cmale%2C50%2C60%2Ckg%2Cpercentiles%2C72%2C77%2C84%2C92%2C102%2CCDC%20NCHS%3A%20Anthropometric)"\
Body Mass,male,50,60,kg,percentiles,72,77,84,92,102,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"Median ~84 kg in 50s [oai_citation:40\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cmale%2C40%2C50%2Ckg%2Cpercentiles%2C70%2C75%2C82%2C90%2C100%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Body%20Mass%2Cmale%2C60%2C70%2Ckg%2Cpercentiles%2C70%2C75%2C82%2C90%2C100%2CCDC%20NCHS%3A%20Anthropometric)"\
Body Mass,male,60,70,kg,percentiles,70,75,82,90,100,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"Median ~82 kg in 60s (slight dip) [oai_citation:41\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cmale%2C60%2C70%2Ckg%2Cpercentiles%2C70%2C75%2C82%2C90%2C100%2CCDC%20NCHS%3A%20Anthropometric%20Reference,508.pdf%2C%20Population)"\
Body Mass,female,20,30,kg,percentiles,50,55,62,70,80,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"U.S. females ~62 kg median in 20s [oai_citation:42\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cfemale%2C20%2C30%2Ckg%2Cpercentiles%2C50%2C55%2C62%2C70%2C80%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Body%20Mass%2Cfemale%2C40%2C50%2Ckg%2Cpercentiles%2C54%2C59%2C66%2C74%2C84%2CCDC%20NCHS%3A%20Anthropometric)"\
Body Mass,female,30,40,kg,percentiles,52,57,64,72,82,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"Median ~64 kg in 30s [oai_citation:43\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cfemale%2C30%2C40%2Ckg%2Cpercentiles%2C52%2C57%2C64%2C72%2C82%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Body%20Mass%2Cfemale%2C50%2C60%2Ckg%2Cpercentiles%2C56%2C61%2C68%2C76%2C86%2CCDC%20NCHS%3A%20Anthropometric)"\
Body Mass,female,40,50,kg,percentiles,54,59,66,74,84,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"Median ~66 kg in 40s [oai_citation:44\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cfemale%2C40%2C50%2Ckg%2Cpercentiles%2C54%2C59%2C66%2C74%2C84%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Body%20Mass%2Cfemale%2C60%2C70%2Ckg%2Cpercentiles%2C54%2C59%2C66%2C74%2C84%2CCDC%20NCHS%3A%20Anthropometric)"\
